epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mean_iou(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,17227,3.00518,2.72469,0.97245,0.31681,0.27032,0.22496,0.09714,0.69234,2.76551,5.88659,0.89568,0.000489452,0.000489452,0.000489452
53,17552.2,2.96462,2.68508,0.9637,0.32275,0.28527,0.23011,0.09852,0.69215,2.7694,6.20998,0.89796,0.000473919,0.000473919,0.000473919
54,17879.5,2.98324,2.69686,0.96288,0.32926,0.28674,0.23093,0.09851,0.6921,2.7626,6.15017,0.89626,0.000458416,0.000458416,0.000458416
55,18206.9,2.95582,2.65152,0.96181,0.33497,0.2799,0.23263,0.09954,0.69285,2.75793,6.03431,0.89621,0.00044296,0.00044296,0.00044296
56,18532.2,2.96308,2.65393,0.95952,0.32037,0.27573,0.22891,0.09855,0.69241,2.76145,6.08912,0.89814,0.000427565,0.000427565,0.000427565
57,18858.5,2.96973,2.65405,0.96051,0.31704,0.27481,0.22506,0.09754,0.69231,2.76024,5.99282,0.89767,0.000412246,0.000412246,0.000412246
58,19184.9,2.95681,2.63833,0.95562,0.32377,0.27775,0.22662,0.09747,0.69298,2.76116,6.07682,0.89671,0.000397019,0.000397019,0.000397019
59,19510.8,2.92546,2.61474,0.95505,0.32372,0.28343,0.2277,0.09761,0.69316,2.75186,5.89713,0.89416,0.000381899,0.000381899,0.000381899
60,19836.5,2.95394,2.62717,0.95228,0.31253,0.28035,0.22625,0.09735,0.69379,2.75605,5.9111,0.89384,0.000366899,0.000366899,0.000366899
61,20161.5,2.93812,2.60202,0.95646,0.31399,0.27879,0.2236,0.09695,0.6926,2.75418,5.76914,0.89335,0.000352037,0.000352037,0.000352037
62,20488,2.9162,2.59604,0.95176,0.31111,0.28005,0.2239,0.09719,0.69302,2.74782,5.71317,0.89242,0.000337325,0.000337325,0.000337325
63,20815.1,2.92983,2.57959,0.9518,0.30369,0.28057,0.22377,0.09704,0.69322,2.74636,5.6348,0.89273,0.000322778,0.000322778,0.000322778
64,21141.4,2.90774,2.56045,0.95098,0.30454,0.28246,0.22183,0.09635,0.69324,2.74995,5.61815,0.89363,0.000308412,0.000308412,0.000308412
65,21467.7,2.91006,2.59368,0.94819,0.30449,0.2869,0.22294,0.09648,0.69407,2.74445,5.66523,0.89142,0.000294239,0.000294239,0.000294239
66,21794.1,2.91606,2.58125,0.94916,0.30704,0.28161,0.22171,0.09676,0.69429,2.74565,5.62542,0.89202,0.000280275,0.000280275,0.000280275
67,22120,2.90673,2.565,0.95182,0.30693,0.28123,0.22152,0.09702,0.69451,2.74363,5.58099,0.89247,0.000266532,0.000266532,0.000266532
68,22446.6,2.9232,2.55071,0.94952,0.30389,0.28611,0.22232,0.09707,0.69415,2.74574,5.50648,0.89308,0.000253024,0.000253024,0.000253024
69,22771.8,2.89784,2.53715,0.93922,0.30052,0.28958,0.22343,0.09732,0.6948,2.74374,5.45344,0.89268,0.000239766,0.000239766,0.000239766
70,23097.7,2.91573,2.54377,0.95081,0.30864,0.28842,0.22468,0.0982,0.69518,2.73698,5.50035,0.89047,0.000226769,0.000226769,0.000226769
71,23422.8,2.89741,2.5205,0.94238,0.30915,0.29317,0.2245,0.09733,0.6951,2.73697,5.48282,0.88939,0.000214046,0.000214046,0.000214046
